Title,URL
Banwari Bhaiya: The Man Behind the Counter,https://www.bspiitd.com/post/banwari-bhaiya-the-man-behind-the-counter
Sandwiches and Tea with Kamala Aunty,https://www.bspiitd.com/post/sandwiches-and-tea-with-kamala-aunty
Charan Bhaiya - Holistic Night Mess,https://www.bspiitd.com/post/charan-bhaiya-holistic-night-mess
"Prof Subrat Kar, EE Department",https://www.bspiitd.com/post/prof-subrat-kar-ee-department
Mitala Aunty,https://www.bspiitd.com/post/mitala-aunty
Satpura Night Mess,https://www.bspiitd.com/post/satpura-night-mess
Stuck in IIT,https://www.bspiitd.com/post/stuck-in-iit
Timble wale Sir,https://www.bspiitd.com/post/timble-wale-sir
Himadri Guard,https://www.bspiitd.com/post/himadri-guard
Keshav Bhaiya,https://www.bspiitd.com/post/keshav-bhaiya
Cyclewale Bhaiya,https://www.bspiitd.com/post/cyclewale-bhaiya
Nescafe Bhaiya,https://www.bspiitd.com/post/nescafe-bhaiya
Amul Bhaiya,https://www.bspiitd.com/post/amul-bhaiya
Kamla Aunty,https://www.bspiitd.com/post/kamla-aunty
MatkaMan,https://www.bspiitd.com/post/matkaman
